"","Pos","Driver","Nationality","Car","Pts","year"
"1422",1,"Lewis
                    Hamilton
                    HAM","GBR","Mercedes","384",2014
"1423",2,"Nico
                    Rosberg
                    ROS","GER","Mercedes","317",2014
"1424",3,"Daniel
                    Ricciardo
                    RIC","AUS","Red Bull Racing Renault","238",2014
"1425",4,"Valtteri 
                    Bottas
                    BOT","FIN","Williams Mercedes","186",2014
"1426",5,"Sebastian
                    Vettel
                    VET","GER","Red Bull Racing Renault","167",2014
"1427",6,"Fernando
                    Alonso
                    ALO","ESP","Ferrari","161",2014
"1428",7,"Felipe
                    Massa
                    MAS","BRA","Williams Mercedes","134",2014
"1429",8,"Jenson
                    Button
                    BUT","GBR","McLaren Mercedes","126",2014
"1430",9,"Nico
                    Hulkenberg
                    HUL","GER","Force India Mercedes","96",2014
"1431",10,"Sergio
                    Perez
                    PER","MEX","Force India Mercedes","59",2014
"1432",11,"Kevin
                    Magnussen
                    MAG","DEN","McLaren Mercedes","55",2014
"1433",12,"Kimi
                    Räikkönen
                    RAI","FIN","Ferrari","55",2014
"1434",13,"Jean-Eric
                    Vergne
                    VER","FRA","STR Renault","22",2014
"1435",14,"Romain
                    Grosjean
                    GRO","FRA","Lotus Renault","8",2014
"1436",15,"Daniil
                    Kvyat
                    KVY","RUS","STR Renault","8",2014
"1437",16,"Pastor
                    Maldonado
                    MAL","VEN","Lotus Renault","2",2014
"1438",17,"Jules
                    Bianchi
                    BIA","FRA","Marussia Ferrari","2",2014
"1439",18,"Adrian
                    Sutil
                    SUT","GER","Sauber Ferrari","0",2014
"1440",19,"Marcus
                    Ericsson
                    ERI","SWE","Caterham Renault","0",2014
"1441",20,"Esteban
                    Gutierrez 
                    GUT","MEX","Sauber Ferrari","0",2014
"1442",21,"Max
                    Chilton
                    CHI","GBR","Marussia Ferrari","0",2014
"1443",22,"Kamui
                    Kobayashi
                    KOB","JPN","Caterham Renault","0",2014
"1444",23,"Will
                    Stevens
                    STE","GBR","Caterham Renault","0",2014
"1445",1,"Lewis
                    Hamilton
                    HAM","GBR","Mercedes","381",2015
"1446",2,"Nico
                    Rosberg
                    ROS","GER","Mercedes","322",2015
"1447",3,"Sebastian
                    Vettel
                    VET","GER","Ferrari","278",2015
"1448",4,"Kimi
                    Räikkönen
                    RAI","FIN","Ferrari","150",2015
"1449",5,"Valtteri 
                    Bottas
                    BOT","FIN","Williams Mercedes","136",2015
"1450",6,"Felipe
                    Massa
                    MAS","BRA","Williams Mercedes","121",2015
"1451",7,"Daniil
                    Kvyat
                    KVY","RUS","Red Bull Racing Renault","95",2015
"1452",8,"Daniel
                    Ricciardo
                    RIC","AUS","Red Bull Racing Renault","92",2015
"1453",9,"Sergio
                    Perez
                    PER","MEX","Force India Mercedes","78",2015
"1454",10,"Nico
                    Hulkenberg
                    HUL","GER","Force India Mercedes","58",2015
"1455",11,"Romain
                    Grosjean
                    GRO","FRA","Lotus Mercedes","51",2015
"1456",12,"Max
                    Verstappen
                    VES","NED","STR Renault","49",2015
"1457",13,"Felipe
                    Nasr
                    NAS","BRA","Sauber Ferrari","27",2015
"1458",14,"Pastor
                    Maldonado
                    MAL","VEN","Lotus Mercedes","27",2015
"1459",15,"Carlos
                    Sainz
                    SAI","ESP","STR Renault","18",2015
"1460",16,"Jenson
                    Button
                    BUT","GBR","McLaren Honda","16",2015
"1461",17,"Fernando
                    Alonso
                    ALO","ESP","McLaren Honda","11",2015
"1462",18,"Marcus
                    Ericsson
                    ERI","SWE","Sauber Ferrari","9",2015
"1463",19,"Roberto
                    Merhi
                    MER","ESP","Marussia Ferrari","0",2015
"1464",20,"Alexander
                    Rossi
                    RSI","USA","Marussia Ferrari","0",2015
"1465",21,"Will
                    Stevens
                    STE","GBR","Marussia Ferrari","0",2015
"1466",1,"Nico
                    Rosberg
                    ROS","GER","Mercedes","385",2016
"1467",2,"Lewis
                    Hamilton
                    HAM","GBR","Mercedes","380",2016
"1468",3,"Daniel
                    Ricciardo
                    RIC","AUS","Red Bull Racing TAG Heuer","256",2016
"1469",4,"Sebastian
                    Vettel
                    VET","GER","Ferrari","212",2016
"1470",5,"Max
                    Verstappen
                    VES","NED","Red Bull Racing TAG Heuer","204",2016
"1471",6,"Kimi
                    Räikkönen
                    RAI","FIN","Ferrari","186",2016
"1472",7,"Sergio
                    Perez
                    PER","MEX","Force India Mercedes","101",2016
"1473",8,"Valtteri 
                    Bottas
                    BOT","FIN","Williams Mercedes","85",2016
"1474",9,"Nico
                    Hulkenberg
                    HUL","GER","Force India Mercedes","72",2016
"1475",10,"Fernando
                    Alonso
                    ALO","ESP","McLaren Honda","54",2016
"1476",11,"Felipe
                    Massa
                    MAS","BRA","Williams Mercedes","53",2016
"1477",12,"Carlos
                    Sainz
                    SAI","ESP","Toro Rosso Ferrari","46",2016
"1478",13,"Romain
                    Grosjean
                    GRO","FRA","Haas Ferrari","29",2016
"1479",14,"Daniil
                    Kvyat
                    KVY","RUS","Toro Rosso Ferrari","25",2016
"1480",15,"Jenson
                    Button
                    BUT","GBR","McLaren Honda","21",2016
"1481",16,"Kevin
                    Magnussen
                    MAG","DEN","Renault","7",2016
"1482",17,"Felipe
                    Nasr
                    NAS","BRA","Sauber Ferrari","2",2016
"1483",18,"Jolyon
                    Palmer
                    PAL","GBR","Renault","1",2016
"1484",19,"Pascal
                    Wehrlein
                    WEH","GER","MRT Mercedes","1",2016
"1485",20,"Stoffel
                    Vandoorne
                    VAN","BEL","McLaren Honda","1",2016
"1486",21,"Esteban
                    Gutierrez 
                    GUT","MEX","Haas Ferrari","0",2016
"1487",22,"Marcus
                    Ericsson
                    ERI","SWE","Sauber Ferrari","0",2016
"1488",23,"Esteban
                    Ocon
                    OCO","FRA","MRT Mercedes","0",2016
"1489",24,"Rio
                    Haryanto
                    HAR","INA","MRT Mercedes","0",2016
"1490",1,"Sebastian
                    Vettel
                    VET","GER","Ferrari","104",2017
"1491",2,"Lewis
                    Hamilton
                    HAM","GBR","Mercedes","98",2017
"1492",3,"Valtteri 
                    Bottas
                    BOT","FIN","Mercedes","63",2017
"1493",4,"Kimi
                    Räikkönen
                    RAI","FIN","Ferrari","49",2017
"1494",5,"Daniel
                    Ricciardo
                    RIC","AUS","Red Bull Racing TAG Heuer","37",2017
"1495",6,"Max
                    Verstappen
                    VER","NED","Red Bull Racing TAG Heuer","35",2017
"1496",7,"Sergio
                    Perez
                    PER","MEX","Force India Mercedes","34",2017
"1497",8,"Esteban
                    Ocon
                    OCO","FRA","Force India Mercedes","19",2017
"1498",9,"Felipe
                    Massa
                    MAS","BRA","Williams Mercedes","18",2017
"1499",10,"Carlos
                    Sainz
                    SAI","ESP","Toro Rosso","17",2017
"1500",11,"Nico
                    Hulkenberg
                    HUL","GER","Renault","14",2017
"1501",12,"Romain
                    Grosjean
                    GRO","FRA","Haas Ferrari","5",2017
"1502",13,"Pascal
                    Wehrlein
                    WEH","GER","Sauber Ferrari","4",2017
"1503",14,"Kevin
                    Magnussen
                    MAG","DEN","Haas Ferrari","4",2017
"1504",15,"Daniil
                    Kvyat
                    KVY","RUS","Toro Rosso","4",2017
"1505",16,"Marcus
                    Ericsson
                    ERI","SWE","Sauber Ferrari","0",2017
"1506",17,"Lance
                    Stroll
                    STR","CAN","Williams Mercedes","0",2017
"1507",18,"Fernando
                    Alonso
                    ALO","ESP","McLaren Honda","0",2017
"1508",19,"Antonio
                    Giovinazzi
                    GIO","ITA","Sauber Ferrari","0",2017
"1509",20,"Jolyon
                    Palmer
                    PAL","GBR","Renault","0",2017
"1510",21,"Stoffel
                    Vandoorne
                    VAN","BEL","McLaren Honda","0",2017
